DEBUG--->2021-03-31 15:37:21,744--->执行结束
DEBUG--->2021-03-31 15:37:21,744--->执行结束
DEBUG--->2021-03-31 16:58:46,744--->开始执行
DEBUG--->2021-03-31 16:58:46,747--->执行用例中。。。。。。
DEBUG--->2021-03-31 16:59:02,087--->开始执行登录用例
DEBUG--->2021-03-31 16:59:02,087--->开始执行登录用例
DEBUG--->2021-03-31 16:59:04,395--->开始执行搜索用例
DEBUG--->2021-03-31 16:59:04,395--->开始执行搜索用例
DEBUG--->2021-03-31 16:59:08,644--->发送邮件
DEBUG--->2021-03-31 16:59:08,644--->发送邮件
DEBUG--->2021-03-31 16:59:09,528--->关闭文件
DEBUG--->2021-03-31 16:59:09,528--->关闭文件
DEBUG--->2021-03-31 16:59:09,529--->执行结束
DEBUG--->2021-03-31 16:59:09,529--->执行结束
DEBUG--->2021-04-02 14:55:22,614--->开始执行
DEBUG--->2021-04-02 14:55:22,617--->执行用例中。。。。。。
DEBUG--->2021-04-02 14:55:37,017--->开始执行登录用例
DEBUG--->2021-04-02 14:55:37,017--->开始执行登录用例
DEBUG--->2021-04-02 14:55:38,863--->开始执行搜索用例
DEBUG--->2021-04-02 14:55:38,863--->开始执行搜索用例
DEBUG--->2021-04-02 14:55:42,030--->发送邮件
DEBUG--->2021-04-02 14:55:42,030--->发送邮件
DEBUG--->2021-04-02 14:55:43,373--->关闭文件
DEBUG--->2021-04-02 14:55:43,373--->关闭文件
DEBUG--->2021-04-02 14:55:43,374--->执行结束
DEBUG--->2021-04-02 14:55:43,374--->执行结束
DEBUG--->2021-04-02 16:55:27,438--->开始执行
DEBUG--->2021-04-02 16:55:27,441--->执行用例中。。。。。。
DEBUG--->2021-04-02 16:55:31,952--->开始执行登录用例
DEBUG--->2021-04-02 16:55:31,952--->开始执行登录用例
DEBUG--->2021-04-02 16:55:48,639--->开始执行搜索用例
DEBUG--->2021-04-02 16:55:48,639--->开始执行搜索用例
DEBUG--->2021-04-02 16:56:02,867--->发送邮件
DEBUG--->2021-04-02 16:56:02,867--->发送邮件
DEBUG--->2021-04-02 16:56:04,076--->关闭文件
DEBUG--->2021-04-02 16:56:04,076--->关闭文件
DEBUG--->2021-04-02 16:56:04,077--->执行结束
DEBUG--->2021-04-02 16:56:04,077--->执行结束
DEBUG--->2021-05-27 21:40:00,531--->开始执行
DEBUG--->2021-05-27 21:40:00,532--->执行用例中。。。。。。
DEBUG--->2021-05-27 21:40:15,045--->开始执行登录用例
DEBUG--->2021-05-27 21:40:15,045--->开始执行登录用例
DEBUG--->2021-05-27 21:40:16,547--->开始执行搜索用例
DEBUG--->2021-05-27 21:40:16,547--->开始执行搜索用例
DEBUG--->2021-05-27 21:40:20,109--->发送邮件
DEBUG--->2021-05-27 21:40:20,109--->发送邮件
DEBUG--->2021-05-27 21:40:20,918--->关闭文件
DEBUG--->2021-05-27 21:40:20,918--->关闭文件
DEBUG--->2021-05-27 21:40:20,919--->执行结束
DEBUG--->2021-05-27 21:40:20,919--->执行结束
DEBUG--->2021-05-28 19:17:58,021--->开始执行
DEBUG--->2021-05-28 19:17:58,025--->执行用例中。。。。。。
DEBUG--->2021-05-28 19:18:27,361--->开始执行登录用例
DEBUG--->2021-05-28 19:18:27,361--->开始执行登录用例
DEBUG--->2021-05-28 19:18:28,827--->开始执行搜索用例
DEBUG--->2021-05-28 19:18:28,827--->开始执行搜索用例
DEBUG--->2021-05-28 19:18:32,085--->发送邮件
DEBUG--->2021-05-28 19:18:32,085--->发送邮件
DEBUG--->2021-05-28 19:18:32,953--->关闭文件
DEBUG--->2021-05-28 19:18:32,953--->关闭文件
DEBUG--->2021-05-28 19:18:32,954--->执行结束
DEBUG--->2021-05-28 19:18:32,954--->执行结束
DEBUG--->2021-05-28 21:13:54,522--->开始执行
DEBUG--->2021-05-28 21:13:54,526--->执行用例中。。。。。。
DEBUG--->2021-05-28 21:14:09,056--->开始执行登录用例
DEBUG--->2021-05-28 21:14:09,056--->开始执行登录用例
DEBUG--->2021-05-28 21:14:10,871--->开始执行搜索用例
DEBUG--->2021-05-28 21:14:10,871--->开始执行搜索用例
DEBUG--->2021-05-28 21:14:14,348--->发送邮件
DEBUG--->2021-05-28 21:14:14,348--->发送邮件
DEBUG--->2021-05-28 21:14:15,090--->关闭文件
DEBUG--->2021-05-28 21:14:15,090--->关闭文件
DEBUG--->2021-05-28 21:14:15,091--->执行结束
DEBUG--->2021-05-28 21:14:15,091--->执行结束
DEBUG--->2021-06-15 21:12:58,233--->开始执行
DEBUG--->2021-06-15 21:12:58,236--->执行用例中。。。。。。
DEBUG--->2021-06-15 21:13:01,351--->开始执行登录用例
DEBUG--->2021-06-15 21:13:01,351--->开始执行登录用例
DEBUG--->2021-06-15 21:13:08,769--->开始执行搜索用例
DEBUG--->2021-06-15 21:13:08,769--->开始执行搜索用例
DEBUG--->2021-06-15 21:13:20,173--->开始执行
DEBUG--->2021-06-15 21:13:20,174--->执行用例中。。。。。。
DEBUG--->2021-06-15 21:13:34,560--->开始执行登录用例
DEBUG--->2021-06-15 21:13:34,560--->开始执行登录用例
DEBUG--->2021-06-15 21:13:36,557--->开始执行搜索用例
DEBUG--->2021-06-15 21:13:36,557--->开始执行搜索用例
DEBUG--->2021-06-15 21:13:40,276--->发送邮件
DEBUG--->2021-06-15 21:13:40,276--->发送邮件
DEBUG--->2021-06-15 21:13:41,183--->关闭文件
DEBUG--->2021-06-15 21:13:41,183--->关闭文件
DEBUG--->2021-06-15 21:13:41,184--->执行结束
DEBUG--->2021-06-15 21:13:41,184--->执行结束
DEBUG--->2021-06-17 19:10:33,198--->开始执行
DEBUG--->2021-06-17 19:10:33,202--->执行用例中。。。。。。
DEBUG--->2021-06-17 19:10:38,095--->开始执行登录用例
DEBUG--->2021-06-17 19:10:38,095--->开始执行登录用例
DEBUG--->2021-06-17 19:11:00,091--->开始执行
DEBUG--->2021-06-17 19:11:00,092--->执行用例中。。。。。。
DEBUG--->2021-06-17 19:11:21,956--->开始执行登录用例
DEBUG--->2021-06-17 19:11:21,956--->开始执行登录用例
DEBUG--->2021-06-17 19:11:25,786--->开始执行搜索用例
DEBUG--->2021-06-17 19:11:25,786--->开始执行搜索用例
DEBUG--->2021-06-17 19:11:29,153--->发送邮件
DEBUG--->2021-06-17 19:11:29,153--->发送邮件
DEBUG--->2021-06-17 19:11:30,128--->关闭文件
DEBUG--->2021-06-17 19:11:30,128--->关闭文件
DEBUG--->2021-06-17 19:11:30,129--->执行结束
DEBUG--->2021-06-17 19:11:30,129--->执行结束
DEBUG--->2021-07-06 16:38:20,111--->开始执行
DEBUG--->2021-07-06 16:38:20,116--->执行用例中。。。。。。
DEBUG--->2021-07-06 16:38:24,354--->开始执行登录用例
DEBUG--->2021-07-06 16:38:24,354--->开始执行登录用例
DEBUG--->2021-07-06 16:38:36,769--->开始执行搜索用例
DEBUG--->2021-07-06 16:38:36,769--->开始执行搜索用例
DEBUG--->2021-07-06 16:38:49,179--->发送邮件
DEBUG--->2021-07-06 16:38:49,179--->发送邮件
DEBUG--->2021-07-06 16:38:50,564--->关闭文件
DEBUG--->2021-07-06 16:38:50,564--->关闭文件
DEBUG--->2021-07-06 16:38:50,565--->执行结束
DEBUG--->2021-07-06 16:38:50,565--->执行结束
DEBUG--->2021-07-06 16:39:23,104--->开始执行
DEBUG--->2021-07-06 16:39:23,105--->执行用例中。。。。。。
DEBUG--->2021-07-06 16:39:39,352--->开始执行登录用例
DEBUG--->2021-07-06 16:39:39,352--->开始执行登录用例
DEBUG--->2021-07-06 16:39:43,794--->开始执行搜索用例
DEBUG--->2021-07-06 16:39:43,794--->开始执行搜索用例
DEBUG--->2021-07-06 16:39:47,334--->发送邮件
DEBUG--->2021-07-06 16:39:47,334--->发送邮件
DEBUG--->2021-07-06 16:39:48,614--->关闭文件
DEBUG--->2021-07-06 16:39:48,614--->关闭文件
DEBUG--->2021-07-06 16:39:48,615--->执行结束
DEBUG--->2021-07-06 16:39:48,615--->执行结束
DEBUG--->2021-07-07 22:02:56,478--->开始执行
DEBUG--->2021-07-07 22:02:56,489--->执行用例中。。。。。。
DEBUG--->2021-07-07 22:03:17,884--->开始执行登录用例
DEBUG--->2021-07-07 22:03:17,884--->开始执行登录用例
DEBUG--->2021-07-07 22:03:22,423--->开始执行搜索用例
DEBUG--->2021-07-07 22:03:22,423--->开始执行搜索用例
DEBUG--->2021-07-07 22:03:26,600--->发送邮件
DEBUG--->2021-07-07 22:03:26,600--->发送邮件
DEBUG--->2021-07-07 22:03:27,698--->关闭文件
DEBUG--->2021-07-07 22:03:27,698--->关闭文件
DEBUG--->2021-07-07 22:03:27,700--->执行结束
DEBUG--->2021-07-07 22:03:27,700--->执行结束
DEBUG--->2021-07-08 16:51:58,834--->开始执行
DEBUG--->2021-07-08 16:51:58,838--->执行用例中。。。。。。
DEBUG--->2021-07-08 16:52:16,160--->开始执行登录用例
DEBUG--->2021-07-08 16:52:16,160--->开始执行登录用例
DEBUG--->2021-07-08 16:52:20,164--->开始执行搜索用例
DEBUG--->2021-07-08 16:52:20,164--->开始执行搜索用例
DEBUG--->2021-07-08 16:52:23,734--->发送邮件
DEBUG--->2021-07-08 16:52:23,734--->发送邮件
