DEBUG--->2021-08-23 21:08:43,463--->开始执行搜索用例
DEBUG--->2021-08-23 21:08:47,239--->发送邮件
DEBUG--->2021-08-23 21:08:47,239--->发送邮件
DEBUG--->2021-08-23 21:08:48,520--->关闭文件
DEBUG--->2021-08-23 21:08:48,520--->关闭文件
DEBUG--->2021-08-23 21:08:48,521--->执行结束
DEBUG--->2021-08-23 21:08:48,521--->执行结束
DEBUG--->2021-08-29 21:03:07,763--->开始执行
DEBUG--->2021-08-29 21:03:07,772--->执行用例中。。。。。。
DEBUG--->2021-08-29 21:03:16,451--->开始执行登录用例
DEBUG--->2021-08-29 21:03:16,451--->开始执行登录用例
DEBUG--->2021-08-29 21:03:18,504--->开始执行搜索用例
DEBUG--->2021-08-29 21:03:18,504--->开始执行搜索用例
DEBUG--->2021-08-29 21:03:22,459--->发送邮件
DEBUG--->2021-08-29 21:03:22,459--->发送邮件
DEBUG--->2021-08-29 21:03:23,863--->关闭文件
DEBUG--->2021-08-29 21:03:23,863--->关闭文件
DEBUG--->2021-08-29 21:03:23,863--->执行结束
DEBUG--->2021-08-29 21:03:23,863--->执行结束
DEBUG--->2021-08-29 21:04:17,611--->开始执行
DEBUG--->2021-08-29 21:04:17,612--->执行用例中。。。。。。
DEBUG--->2021-08-29 21:04:23,223--->开始执行登录用例
DEBUG--->2021-08-29 21:04:23,223--->开始执行登录用例
DEBUG--->2021-08-29 21:04:25,108--->开始执行搜索用例
DEBUG--->2021-08-29 21:04:25,108--->开始执行搜索用例
DEBUG--->2021-08-29 21:04:28,807--->发送邮件
DEBUG--->2021-08-29 21:04:28,807--->发送邮件
DEBUG--->2021-08-29 21:04:29,967--->关闭文件
DEBUG--->2021-08-29 21:04:29,967--->关闭文件
DEBUG--->2021-08-29 21:04:29,968--->执行结束
DEBUG--->2021-08-29 21:04:29,968--->执行结束
DEBUG--->2021-08-29 21:05:00,284--->开始执行
DEBUG--->2021-08-29 21:05:00,284--->执行用例中。。。。。。
DEBUG--->2021-08-29 21:05:05,574--->开始执行登录用例
DEBUG--->2021-08-29 21:05:05,574--->开始执行登录用例
DEBUG--->2021-08-29 21:05:07,410--->开始执行搜索用例
DEBUG--->2021-08-29 21:05:07,410--->开始执行搜索用例
DEBUG--->2021-08-29 21:05:10,960--->发送邮件
DEBUG--->2021-08-29 21:05:10,960--->发送邮件
DEBUG--->2021-08-29 21:05:12,136--->关闭文件
DEBUG--->2021-08-29 21:05:12,136--->关闭文件
DEBUG--->2021-08-29 21:05:12,138--->执行结束
DEBUG--->2021-08-29 21:05:12,138--->执行结束
DEBUG--->2021-08-29 21:06:06,990--->开始执行
DEBUG--->2021-08-29 21:06:06,991--->执行用例中。。。。。。
DEBUG--->2021-08-29 21:06:09,911--->开始执行登录用例
DEBUG--->2021-08-29 21:06:09,911--->开始执行登录用例
DEBUG--->2021-08-29 21:06:20,454--->开始执行搜索用例
DEBUG--->2021-08-29 21:06:20,454--->开始执行搜索用例
DEBUG--->2021-08-29 21:06:36,842--->发送邮件
DEBUG--->2021-08-29 21:06:36,842--->发送邮件
DEBUG--->2021-08-29 21:06:38,213--->关闭文件
DEBUG--->2021-08-29 21:06:38,213--->关闭文件
DEBUG--->2021-08-29 21:06:38,213--->执行结束
DEBUG--->2021-08-29 21:06:38,213--->执行结束
DEBUG--->2021-09-12 21:04:50,001--->开始执行
DEBUG--->2021-09-12 21:04:50,009--->执行用例中。。。。。。
DEBUG--->2021-09-12 21:04:56,719--->开始执行登录用例
DEBUG--->2021-09-12 21:04:56,719--->开始执行登录用例
DEBUG--->2021-09-12 21:04:58,646--->开始执行搜索用例
DEBUG--->2021-09-12 21:04:58,646--->开始执行搜索用例
DEBUG--->2021-09-12 21:05:02,358--->发送邮件
DEBUG--->2021-09-12 21:05:02,358--->发送邮件
DEBUG--->2021-09-12 21:05:03,719--->关闭文件
DEBUG--->2021-09-12 21:05:03,719--->关闭文件
DEBUG--->2021-09-12 21:05:03,721--->执行结束
DEBUG--->2021-09-12 21:05:03,721--->执行结束
DEBUG--->2021-09-12 21:06:26,766--->开始执行
DEBUG--->2021-09-12 21:06:26,767--->执行用例中。。。。。。
DEBUG--->2021-09-12 21:06:33,843--->开始执行登录用例
DEBUG--->2021-09-12 21:06:33,843--->开始执行登录用例
DEBUG--->2021-09-12 21:06:35,868--->开始执行搜索用例
DEBUG--->2021-09-12 21:06:35,868--->开始执行搜索用例
DEBUG--->2021-09-12 21:06:40,130--->发送邮件
DEBUG--->2021-09-12 21:06:40,130--->发送邮件
DEBUG--->2021-09-12 21:06:41,156--->关闭文件
DEBUG--->2021-09-12 21:06:41,156--->关闭文件
DEBUG--->2021-09-12 21:06:41,157--->执行结束
DEBUG--->2021-09-12 21:06:41,157--->执行结束
DEBUG--->2021-09-12 21:08:44,507--->开始执行
DEBUG--->2021-09-12 21:08:44,509--->执行用例中。。。。。。
DEBUG--->2021-09-12 21:08:47,580--->开始执行登录用例
DEBUG--->2021-09-12 21:08:47,580--->开始执行登录用例
DEBUG--->2021-09-12 21:08:58,367--->开始执行搜索用例
DEBUG--->2021-09-12 21:08:58,367--->开始执行搜索用例
DEBUG--->2021-09-12 21:09:10,996--->发送邮件
DEBUG--->2021-09-12 21:09:10,996--->发送邮件
DEBUG--->2021-09-12 21:09:11,925--->关闭文件
DEBUG--->2021-09-12 21:09:11,925--->关闭文件
DEBUG--->2021-09-12 21:09:11,926--->执行结束
DEBUG--->2021-09-12 21:09:11,926--->执行结束
